name,score
2008_000002,3.725161
2008_000003,3.682165
2008_000007,3.778378
2008_000008,3.220686
2008_000009,4.473554
2008_000015,3.709118
2008_000016,4.000782
2008_000019,3.207394
2008_000021,2.883764
2008_000023,3.362935
2008_000026,3.864584
2008_000027,3.064627
2008_000028,3.575131
2008_000032,4.921877
2008_000033,3.159318
2008_000034,3.340708
2008_000036,3.364060
2008_000037,3.245931
2008_000041,3.789750
2008_000042,3.921324
2008_000043,3.673952
2008_000045,3.023808
2008_000050,3.609549
2008_000051,4.487978
2008_000052,3.266562
2008_000053,3.201633
2008_000054,3.347214
2008_000056,3.082774
2008_000059,2.929823
2008_000060,2.923513
2008_000062,3.097220
2008_000064,3.315321
2008_000066,2.926865
2008_000067,3.697055
2008_000070,3.627315
2008_000073,3.955826
2008_000074,3.153829
2008_000075,3.250914
2008_000076,3.217056
2008_000078,3.132351
2008_000080,2.999710
2008_000082,3.277338
2008_000084,3.552179
2008_000085,3.323431
2008_000089,3.054991
2008_000090,3.840636
2008_000093,3.542081
2008_000095,4.680653
2008_000096,2.903946
2008_000097,3.002711
2008_000099,3.112706
2008_000103,3.782968
2008_000105,3.155659
2008_000107,4.813127
2008_000109,3.875606
2008_000112,3.310184
2008_000115,3.250000
2008_000116,2.966157
2008_000119,3.136583
2008_000120,3.253889
2008_000123,2.803032
2008_000128,3.369416
2008_000131,2.953147
2008_000132,4.126507
2008_000133,3.863682
2008_000134,2.900000
2008_000138,4.040928
2008_000140,4.124654
2008_000141,3.494857
2008_000142,3.249093
2008_000143,3.106200
2008_000144,3.169656
2008_000145,3.622925
2008_000148,3.112597
2008_000149,3.844715
2008_000151,3.719060
2008_000154,3.840708
2008_000162,2.929049
2008_000163,3.094605
2008_000174,3.691401
2008_000176,3.936263
2008_000177,3.485005
2008_000181,3.083957
2008_000182,3.381015
2008_000183,3.300000
2008_000185,3.087909
2008_000187,3.433648
2008_000188,3.520358
2008_000189,3.177797
2008_000190,4.126257
2008_000191,4.200000
2008_000192,3.058894
2008_000193,3.409243
2008_000194,4.584605
2008_000195,3.576278
2008_000196,6.023773
2008_000197,2.988696
2008_000199,3.880532
