,name,label
0,2008_003500,2.4550349999999996
1,2008_002710,2.5
2,2008_003675,2.5
3,2008_002603,2.50452
4,2008_003244,2.5558799999999997
5,2009_003974,2.57
6,2008_003843,2.570065
7,2010_005483,2.5704380000000002
8,2008_007504,2.58
9,2008_001632,2.585907
10,2011_001320,2.588214
11,2008_005636,2.59
12,2008_001194,2.6
13,2008_002013,2.6
14,2008_002379,2.6
15,2008_004422,2.609244
16,2008_007948,2.61
17,2009_001807,2.61
18,2009_003166,2.61
19,2011_001967,2.61
20,2008_006113,2.6173319999999998
21,2008_003211,2.62
22,2008_005477,2.62
23,2010_005082,2.62
24,2011_000482,2.62
25,2009_001070,2.620489
26,2010_004729,2.623263
27,2008_000832,2.625206
28,2008_003261,2.630161
29,2008_006400,2.633942
30,2008_003196,2.6357369999999998
31,2010_001421,2.64
32,2009_003489,2.64195
33,2008_000340,2.646506
34,2008_001408,2.6484669999999997
35,2008_001546,2.65
36,2009_005189,2.65
37,2010_002740,2.65
38,2008_005357,2.650752
39,2008_005633,2.66
40,2009_004317,2.66
41,2011_002407,2.66
42,2008_004000,2.661141
43,2010_004175,2.661834
44,2008_001715,2.662824
45,2008_001439,2.6633970000000002
46,2008_004426,2.67
47,2008_004730,2.67
48,2009_001360,2.67
49,2008_004257,2.6747330000000002
50,2008_005663,2.675318
51,2008_001806,2.68
52,2009_000291,2.68
53,2009_000692,2.68
54,2009_001676,2.68
55,2009_004536,2.68
56,2010_003495,2.68
57,2010_005093,2.68
58,2010_004654,2.6809119999999997
59,2008_004069,2.683478
60,2010_004145,2.686366
61,2008_007623,2.686729
62,2008_002584,2.687066
63,2010_006082,2.68782
64,2009_005198,2.6893849999999997
65,2010_002532,2.6910830000000003
66,2008_006020,2.694568
67,2011_001858,2.697826
68,2008_001679,2.7
69,2009_000985,2.7
70,2008_002240,2.700589
71,2008_006923,2.703305
72,2009_002319,2.705283
73,2009_001012,2.706293
74,2010_001177,2.709002
75,2008_005977,2.71
76,2008_006164,2.71
