,name,label
825,2008_003500,2.455035
638,2008_002710,2.5
867,2008_003675,2.5
611,2008_002603,2.50452
763,2008_003244,2.55588
3173,2009_003974,2.57
910,2008_003843,2.570065
4907,2010_005483,2.570438
1808,2008_007504,2.58
392,2008_001632,2.585907
5362,2011_001320,2.588214
1381,2008_005636,2.59
298,2008_001194,2.6
486,2008_002013,2.6
562,2008_002379,2.6
1066,2008_004422,2.609244
1923,2008_007948,2.61
2622,2009_001807,2.61
2970,2009_003166,2.61
5515,2011_001967,2.61
1501,2008_006113,2.617332
757,2008_003211,2.62
1343,2008_005477,2.62
4804,2010_005082,2.62
5177,2011_000482,2.62
2423,2009_001070,2.620489
4710,2010_004729,2.623263
210,2008_000832,2.625206
766,2008_003261,2.630161
1571,2008_006400,2.633942
752,2008_003196,2.635737
3889,2010_001421,2.64
3042,2009_003489,2.64195
86,2008_000340,2.646506
336,2008_001408,2.648467
368,2008_001546,2.65
3469,2009_005189,2.65
4222,2010_002740,2.65
1305,2008_005357,2.650752
1380,2008_005633,2.66
3266,2009_004317,2.66
5602,2011_002407,2.66
956,2008_004000,2.661141
4567,2010_004175,2.661834
408,2008_001715,2.662824
342,2008_001439,2.663397
1067,2008_004426,2.67
1147,2008_004730,2.67
2508,2009_001360,2.67
1016,2008_004257,2.674733
1389,2008_005663,2.675318
431,2008_001806,2.68
2215,2009_000291,2.68
2320,2009_000692,2.68
2587,2009_001676,2.68
3314,2009_004536,2.68
4401,2010_003495,2.68
4807,2010_005093,2.68
4686,2010_004654,2.680912
970,2008_004069,2.683478
4560,2010_004145,2.686366
1838,2008_007623,2.686729
607,2008_002584,2.687066
5069,2010_006082,2.68782
3472,2009_005198,2.689385
4177,2010_002532,2.691083
1470,2008_006020,2.694568
5489,2011_001858,2.697826
400,2008_001679,2.7
2402,2009_000985,2.7
534,2008_002240,2.700589
1675,2008_006923,2.703305
2751,2009_002319,2.705283
2408,2009_001012,2.706293
3823,2010_001177,2.709002
1461,2008_005977,2.71
1517,2008_006164,2.71
2418,2009_001056,2.71
4350,2010_003255,2.71
5400,2011_001514,2.71
5466,2011_001753,2.71
1424,2008_005816,2.712296
494,2008_002042,2.713625
949,2008_003974,2.713785
